w_min,w_max,type,x,m,y,mean_error_y_est,analysis,ymetric
75,100,Optimal,1,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,2,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,3,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,4,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,5,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,6,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,7,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,8,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,9,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,10,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,11,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,12,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,13,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,14,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,15,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,16,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,17,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,18,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,19,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,20,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,21,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,22,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,23,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,24,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,25,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,26,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,27,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,28,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,29,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,Optimal,30,-,95.22640841864288,-,altstrobes-analysis,Entropy
75,100,k-mers,30,-,21.589239838262607,-,altstrobes-analysis,Entropy
75,100,altstrobes,1,-,28.197610247130694,-,altstrobes-analysis,Entropy
75,100,altstrobes,2,-,32.29381583103911,-,altstrobes-analysis,Entropy
75,100,altstrobes,3,-,35.18225133653706,-,altstrobes-analysis,Entropy
75,100,altstrobes,4,-,37.23849754898917,-,altstrobes-analysis,Entropy
75,100,altstrobes,5,-,38.66696223721224,-,altstrobes-analysis,Entropy
75,100,altstrobes,6,-,39.596465670554466,-,altstrobes-analysis,Entropy
75,100,altstrobes,7,-,40.137967582804805,-,altstrobes-analysis,Entropy
75,100,altstrobes,8,-,40.37509658578681,-,altstrobes-analysis,Entropy
75,100,altstrobes,9,-,40.37871876705859,-,altstrobes-analysis,Entropy
75,100,altstrobes,10,-,40.21125856903328,-,altstrobes-analysis,Entropy
75,100,altstrobes,11,-,39.929677855826,-,altstrobes-analysis,Entropy
75,100,altstrobes,12,-,39.588050223603645,-,altstrobes-analysis,Entropy
75,100,altstrobes,13,-,39.24068152916873,-,altstrobes-analysis,Entropy
75,100,altstrobes,14,-,38.947894665137774,-,altstrobes-analysis,Entropy
75,100,randstrobes,15,-,38.7948603530945,-,altstrobes-analysis,Entropy
75,100,k-mers,0.0,-,21.589239838262607,-,mixedstrobes-analysis,Entropy
75,100,mixedstrobes,0.1,-,27.018972685172415,-,mixedstrobes-analysis,Entropy
75,100,mixedstrobes,0.2,-,30.698347421398775,-,mixedstrobes-analysis,Entropy
75,100,mixedstrobes,0.3,-,33.5910197803023,-,mixedstrobes-analysis,Entropy
