w_min,w_max,type,x,m,y,mean_error_y_est,analysis,ymetric
50,100,Optimal,1,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,2,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,3,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,4,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,5,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,6,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,7,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,8,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,9,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,10,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,11,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,12,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,13,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,14,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,15,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,16,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,17,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,18,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,19,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,20,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,21,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,22,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,23,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,24,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,25,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,26,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,27,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,28,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,29,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,Optimal,30,-,95.22640841864288,-,altstrobes-analysis,Entropy
50,100,k-mers,30,-,21.589239838262607,-,altstrobes-analysis,Entropy
50,100,altstrobes,1,-,28.733734360757435,-,altstrobes-analysis,Entropy
50,100,altstrobes,2,-,33.33517762640312,-,altstrobes-analysis,Entropy
50,100,altstrobes,3,-,36.73681775427204,-,altstrobes-analysis,Entropy
50,100,altstrobes,4,-,39.30188622416897,-,altstrobes-analysis,Entropy
50,100,altstrobes,5,-,41.22610744994491,-,altstrobes-analysis,Entropy
50,100,altstrobes,6,-,42.63935415239783,-,altstrobes-analysis,Entropy
50,100,altstrobes,7,-,43.637916924048156,-,altstrobes-analysis,Entropy
50,100,altstrobes,8,-,44.29845297838381,-,altstrobes-analysis,Entropy
50,100,altstrobes,9,-,44.68523204258555,-,altstrobes-analysis,Entropy
50,100,altstrobes,10,-,44.8544906452852,-,altstrobes-analysis,Entropy
50,100,altstrobes,11,-,44.857498402568766,-,altstrobes-analysis,Entropy
50,100,altstrobes,12,-,44.74325566609416,-,altstrobes-analysis,Entropy
50,100,altstrobes,13,-,44.56176501444991,-,altstrobes-analysis,Entropy
50,100,altstrobes,14,-,44.36999164744994,-,altstrobes-analysis,Entropy
50,100,randstrobes,15,-,44.25089699559077,-,altstrobes-analysis,Entropy
50,100,k-mers,0.0,-,21.589239838262607,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.1,-,27.463332399937418,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.2,-,31.625873102755122,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.3,-,35.02353462757972,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.4,-,37.85038813498634,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.5,-,40.18966168821559,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.6,-,42.078221962913126,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.7,-,43.522251115728785,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.8,-,44.49451190640759,-,mixedstrobes-analysis,Entropy
50,100,mixedstrobes,0.9,-,44.90243685854638,-,mixedstrobes-analysis,Entropy
50,100,randstrobes,1.0,-,44.25089699559078,-,mixedstrobes-analysis,Entropy
50,100,k-mers,30,60,22.99339999999999,-,altstrobes-analysis,p_match
50,100,altstrobes,1,60,24.576000000000008,-,altstrobes-analysis,p_match
50,100,altstrobes,2,60,26.626,-,altstrobes-analysis,p_match
50,100,altstrobes,3,60,27.61049999999999,-,altstrobes-analysis,p_match
50,100,altstrobes,4,60,28.1021,-,altstrobes-analysis,p_match
50,100,altstrobes,5,60,28.448200000000003,-,altstrobes-analysis,p_match
50,100,altstrobes,6,60,28.774599999999992,-,altstrobes-analysis,p_match
50,100,altstrobes,7,60,29.073900000000002,-,altstrobes-analysis,p_match
50,100,altstrobes,8,60,29.303899999999995,-,altstrobes-analysis,p_match
50,100,altstrobes,9,60,29.462500000000002,-,altstrobes-analysis,p_match
50,100,altstrobes,10,60,29.5305,-,altstrobes-analysis,p_match
50,100,altstrobes,11,60,29.512200000000007,-,altstrobes-analysis,p_match
50,100,altstrobes,12,60,29.426699999999997,-,altstrobes-analysis,p_match
